id;locale;key;value
21190;en;decidim.geo.scopes.dropdown;Scopes
21183;de;decidim.geo.content_blocks.fields.zoom;Zoom
21184;en;decidim.geo.content_blocks.fields.zoom;Zoom
21189;de;decidim.geo.scopes.dropdown;Kreis
21191;de;decidim.geo.scopes.all;Alle Kreise
21192;en;decidim.geo.scopes.all;All Scopes
21109;de;decidim.assemblies.admin.assemblies.form.decidim_geo_space_address;Ortsangabe / Adresse
21110;en;decidim.assemblies.admin.assemblies.form.decidim_geo_space_address;Physical Address
21111;de;decidim.assemblies.admin.assemblies.form.decidim_geo_space_address_help;Falls die Organisation einen Standort hat, fügen Sie ihn hier ihre Adresse ein.
21112;en;decidim.assemblies.admin.assemblies.form.decidim_geo_space_address_help;If the Assembly has a physical address, fill this field with its address.
21115;de;decidim.participatory_processes.admin.participatory_processes.form.decidim_geo_space_address;Ortsangabe / Adresse
21116;en;decidim.participatory_processes.admin.participatory_processes.form.decidim_geo_space_address;Physical Address
21117;de;decidim.participatory_processes.admin.participatory_processes.form.decidim_geo_space_address_help;Falls der Prozess einen Standort hat, fügen Sie hier seine Adresse ein.
21118;en;decidim.participatory_processes.admin.participatory_processes.form.decidim_geo_space_address_help;If the process has a physical address, fill this field with its address.
21123;de;decidim.geo.admin.geo_configs.map_config_title;Karteneinstellungen
21124;en;decidim.geo.admin.geo_configs.map_config_title;Map Configurations
21216;en;decidim.geo.filters.time.only_future;Future
21127;de;decidim.geo.admin.geo_configs.only_assemblies;Ausschliesslich Veranstaltungen auf der Veranstaltungsübersichtsseite anzeigen
21128;en;decidim.geo.admin.geo_configs.only_assemblies;Display only assemblies in Assemblies
21133;de;decidim.geo.admin.geo_configs.edit.title;Einstellungen
21134;en;decidim.geo.admin.geo_configs.edit.title;Configurations
21137;de;decidim.geo.admin.geo_configs.fields.zoom;Zoom
21138;en;decidim.geo.admin.geo_configs.fields.zoom;Zoom
21145;de;decidim.geo.admin.geo_configs.actions.update.success;Konfigurationen aktualisiert
21146;en;decidim.geo.admin.geo_configs.actions.update.success;Configurations Updated
21155;de;decidim.geo.admin.shapefiles.actions.new.attachment_legend;Legen Sie Ihre Zip-Datei hier ab
21156;en;decidim.geo.admin.shapefiles.actions.new.attachment_legend;Put your zip file here
21179;de;decidim.geo.admin.shapefiles.form.support_shape_overlaping;Überlappende Shapes werden derzeit nicht unterstützt
21180;en;decidim.geo.admin.shapefiles.form.support_shape_overlaping;Overlapping shapes are not currently supported
21201;de;decidim.geo.filters.geo.label;Anzeigen
21202;en;decidim.geo.filters.geo.label;Show
21207;de;decidim.geo.filters.time.label;Filtern nach Zeit
21208;en;decidim.geo.filters.time.label;Filter By Time
21211;de;decidim.geo.filters.time.only_past;Vergangene
21212;en;decidim.geo.filters.time.only_past;Past
21213;de;decidim.geo.filters.time.only_active;Laufende
21214;en;decidim.geo.filters.time.only_active;Active
21215;de;decidim.geo.filters.time.only_future;Bevorstehende
21223;de;decidim.geo.filters.type.only_assemblies;Veranstaltungen
21224;en;decidim.geo.filters.type.only_assemblies;Assemblies
21205;de;decidim.geo.filters.geo.only_virtual;Gesamtstädtisch
21206;en;decidim.geo.filters.geo.only_virtual;City-Wide
21121;de;decidim.geo.filters.geo.only_geoencoded;Quartierspezifisch
21122;en;decidim.geo.filters.geo.only_geoencoded;Neighbourhood-specific
22186;en;activemodel.attributes.participatory_process.decidim_geo_space_address;Address
