id;locale;key;value
18847;de;activemodel.attributes.organization.delete_inactive_users_email_after;Schicke eine Mail an inaktive Nutzende nach (Tagen, Standard 365)
18848;en;activemodel.attributes.organization.delete_inactive_users_email_after;Send email to inactive users before deletion (days, default 365)
18849;de;activemodel.attributes.organization.delete_inactive_users_after;Löschen der inaktiven Nutzenden nach (Tagen, Standard 390)
18850;en;activemodel.attributes.organization.delete_inactive_users_after;Delete inactive users after (days, default 390)
18851;de;decidim.cleaner.inactive_users_mailer.warning_inactive.hello;Guten Tag
18852;en;decidim.cleaner.inactive_users_mailer.warning_inactive.hello;Hello
18853;de;decidim.cleaner.inactive_users_mailer.warning_inactive.subject;Ihr Konto ist inaktiv
18854;en;decidim.cleaner.inactive_users_mailer.warning_inactive.subject;Your account is inactive
18855;de;decidim.cleaner.inactive_users_mailer.warning_inactive.greetings;"Beste Grüsse,<br/>%{organization_name}<br/><a href=""%{organization_url}"">%{organization_url}</a>"
18856;en;decidim.cleaner.inactive_users_mailer.warning_inactive.greetings;"Greetings,<br/>%{organization_name}<br/><a href=""%{organization_url}"">%{organization_url}</a>"
18857;de;decidim.cleaner.inactive_users_mailer.warning_inactive.body_2;"<a href=""%{organization_url}"">Wenn Sie sich in den nächsten %{remaining_days} Tagen nicht anmelden </a>, löschen wir ihr Konto unwiderruflich."
18858;en;decidim.cleaner.inactive_users_mailer.warning_inactive.body_2;"<a href=""%{organization_url}"">If no reaction within %{remaining_days} days </a>, your account will be deleted."
18859;de;decidim.cleaner.inactive_users_mailer.warning_deletion.subject;Ihr Konto wurde gelöscht
18860;en;decidim.cleaner.inactive_users_mailer.warning_deletion.subject;Your account has been deleted
18861;de;decidim.cleaner.inactive_users_mailer.warning_deletion.greetings;"Beste Grüsse,<br/>%{organization_name}<br/><a href=""%{organization_url}"">%{organization_url}</a>"
18862;en;decidim.cleaner.inactive_users_mailer.warning_deletion.greetings;"Greetings,<br/>%{organization_name}<br/><a href=""%{organization_url}"">%{organization_url}</a>"
18863;de;decidim.cleaner.inactive_users_mailer.warning_inactive.body_1;Sie waren seit %{days} Tagen nicht mehr aktiv auf %{organization_name}.
18864;en;decidim.cleaner.inactive_users_mailer.warning_inactive.body_1;You are inactive since %{days} days on %{organization_name}.
18865;de;decidim.cleaner.inactive_users_mailer.warning_deletion.hello;Guten Tag
18866;en;decidim.cleaner.inactive_users_mailer.warning_deletion.hello;Hello
18867;de;decidim.cleaner.inactive_users_mailer.warning_deletion.body_2;Daher wurde Ihr Konto gelöscht.
18868;en;decidim.cleaner.inactive_users_mailer.warning_deletion.body_2;As a result, your account has been deleted.
18869;de;decidim.cleaner.inactive_users_mailer.warning_deletion.body_1;"Sie waren seit %{days} Tagen nicht mehr aktiv auf <a href=""%{organization_url}""> %{organization_name} </a>."
18870;en;decidim.cleaner.inactive_users_mailer.warning_deletion.body_1;"You are inactive since %{days} days on <a href=""%{organization_url}""> %{organization_name} </a>."
18871;de;decidim.cleaner.admin.organization_cleaner.form.admin_log_cleaner_title;Bereinigung der Admin Logs
18872;en;decidim.cleaner.admin.organization_cleaner.form.admin_log_cleaner_title;Admin log
18873;de;decidim.cleaner.admin.organization_cleaner.edit.update;Aktualisieren
18874;en;decidim.cleaner.admin.organization_cleaner.edit.update;Update
18875;de;decidim.components.cleaner.name;Datenbereinigung
18876;en;decidim.components.cleaner.name;Datenbereinigung
18877;de;decidim.cleaner.admin.organization_cleaner.form.inactive_users_cleaner_title;Bereinigung der inaktiven Nutzenden
18878;en;decidim.cleaner.admin.organization_cleaner.form.inactive_users_cleaner_title;Inactive users
18879;de;activemodel.attributes.organization.delete_admin_logs_after;Löschen der Admin Logs nach (Tagen, Standard 365)
18880;en;activemodel.attributes.organization.delete_admin_logs_after;Delete admin logs after (days, default 365)
20997;de;activemodel.attributes.organization.delete_admin_logs;Aktiviere das Löschen der Admin Logs
20998;en;activemodel.attributes.organization.delete_admin_logs;Enable admin logs deletion
