id;locale;key;value
28843;de;decidim.guest_meeting_registration.admin.guest_meeting_session.disable_account_confirmation_html;Pop-up deaktivieren, welches Teilnehmende fragt, ob sie sich mit oder ohne bestehendem Konto anmelden möchten
28844;en;decidim.guest_meeting_registration.admin.guest_meeting_session.disable_account_confirmation_html;Enabling this setting will hide the account selection pop-up for meeting registration
28821;de;decidim.events.meetings.meeting_waitlist_added.notification_title;"Sie wurden zur Warteliste der Veranstaltung <a href=""%{resource_url}"">%{resource_title}</a> hinzugefügt."
28822;en;decidim.events.meetings.meeting_waitlist_added.notification_title;"You have been added to the waitlist for the <a href=""%{resource_url}"">%{resource_title}</a> meeting."
28823;de;decidim.meetings.meetings.show.join_waitlist;Warteliste beitreten
28824;en;decidim.meetings.meetings.show.join_waitlist;Join waitlist
28825;de;decidim.meetings.meetings.show.leave_waitlist;Warteliste verlassen
28826;en;decidim.meetings.meetings.show.leave_waitlist;Leave waitlist
28827;de;decidim.meetings.meetings.show.leave_waitlist_confirmation;Sind Sie sicher, dass Sie die Warteliste dieser Veranstaltung verlassen möchten?
28828;en;decidim.meetings.meetings.show.leave_waitlist_confirmation;Are you sure you want to leave the waitlist for this meeting?
28829;de;decidim.meetings.meetings.show.waitlist.description;Sobald ein Platz frei wird, werden wir Sie automatisch zur Veranstaltung anmelden. Sie werden per E-Mail benachrichtigt.
28830;en;decidim.meetings.meetings.show.waitlist.description;If a spot becomes available, we well process your registration automatically and notify you via email.
28831;de;decidim.meetings.meetings.show.waitlist.status;Sie sind auf der Warteliste
28832;en;decidim.meetings.meetings.show.waitlist.status;You are on the waitlist
28833;de;decidim.meetings.registrations.waitlist.invalid;Beim Beitreten zur Warteliste ist ein Problem aufgetreten.
28834;en;decidim.meetings.registrations.waitlist.invalid;There was a problem joining the waitlist.
28835;de;decidim.meetings.registrations.waitlist.success;Sie sind der Warteliste für die Veranstaltung beigetreten. Sobald ein Platz frei wird werden Sie benachrichtigt und angemeldet.
28836;en;decidim.meetings.registrations.waitlist.success;You have joined the meeting waitlist successfully. You will be notified if your registration is successfully secured.
28841;de;decidim.components.guest_meeting_registration.name;Gastanmeldungen bei Veranstaltungen
28842;en;decidim.components.guest_meeting_registration.name;GuestMeetingRegistration
28845;de;decidim.guest_meeting_registration.admin.guest_meeting_session.enable_cancellation_help_html;Nutzenden erlauben, die Teilnahme an der Veranstaltung abzusagen
28846;en;decidim.guest_meeting_registration.admin.guest_meeting_session.enable_cancellation_help_html;Allow users to cancel their registration
28847;de;decidim.guest_meeting_registration.admin.guest_meeting_session.enable_guest_registration_help_html;Anmeldungen für Veranstaltungen ohne Plattformregistrierung erlauben
28848;en;decidim.guest_meeting_registration.admin.guest_meeting_session.enable_guest_registration_help_html;Unregistered users will be asked for a name and email
28849;de;decidim.guest_meeting_registration.admin.guest_meeting_session.enable_registration_confirmation_help_html;Teilnehmende zwingen, Ihre Anmeldung an einer Veranstaltung zu bestätigen
28850;en;decidim.guest_meeting_registration.admin.guest_meeting_session.enable_registration_confirmation_help_html;Send email verification to confirm meeting registration
28851;de;decidim.guest_meeting_registration.admin.guest_meeting_settings.edit.title;Gastanmeldungen für Veranstaltungen
