id;locale;key;value
28593;de;decidim.admin.share_tokens.index.empty_html;Es gibt keine aktivierten Linkfreigaben. %{new_token_link}
28594;en;decidim.admin.share_tokens.index.empty_html;There are no active access links. %{new_token_link}
28595;de;decidim.admin.actions.share_tokens;Linkfreigaben
28596;en;decidim.admin.actions.share_tokens;Access links
28597;de;decidim.admin.menu.share_tokens;Linkfreigaben
28598;en;decidim.admin.menu.share_tokens;Access links
28599;de;decidim.admin.share_tokens.actions.confirm_destroy;Sind Sie sicher, dass Sie diese Linkfreigabe löschen wollen?
28600;en;decidim.admin.share_tokens.actions.confirm_destroy;Are you sure you want to delete this link sharing?
28601;de;decidim.admin.share_tokens.actions.copy_link;Link kopieren
28602;en;decidim.admin.share_tokens.actions.copy_link;Copy link
28603;de;decidim.admin.share_tokens.actions.destroy;Löschen
28604;en;decidim.admin.share_tokens.actions.destroy;Delete
28605;de;decidim.admin.share_tokens.actions.edit;Bearbeiten
28606;en;decidim.admin.share_tokens.actions.edit;Edit
28607;de;decidim.admin.share_tokens.actions.preview;Vorschau
28608;en;decidim.admin.share_tokens.actions.preview;Preview
28609;de;decidim.admin.share_tokens.create.invalid;Beim Erstellen der Linkfreigabe ist ein Problem aufgetreten.
28610;en;decidim.admin.share_tokens.create.invalid;There was a problem generating the access link.
28611;de;decidim.admin.share_tokens.create.success;Linkfreigabe erfolgreich erstellt.
28612;en;decidim.admin.share_tokens.create.success;Access link created successfully.
28613;de;decidim.admin.share_tokens.destroy.error;Beim Löschen der Linkfreigabe ist ein Fehler aufgetreten.
28614;en;decidim.admin.share_tokens.destroy.error;There was a problem destroying the link.
28615;de;decidim.admin.share_tokens.share_tokens.help;Mit der Linkfreigabe können Sie einen geheimen Link erstellen, den Sie versenden können. Die Seite wird nicht veröffentlicht, sondern kann nur über den angegebenen Link angesehen werden.
28616;en;decidim.admin.share_tokens.share_tokens.help;These tokens are used to publicly share this unpublished resource to any user. They will be hidden when the resource is published. Click on the token's share icon to visit the shareable URL.
28617;de;decidim.admin.share_tokens.index.title;Linkfreigaben für: %{name}
28618;en;decidim.admin.share_tokens.index.title;access links for: %{name}
28619;de;decidim.admin.models.share_token.fields.created_at;Erstellungsdatum
28620;en;decidim.admin.models.share_token.fields.created_at;Created at
28621;de;decidim.admin.models.share_token.fields.expires_at;Ablaufdatum
28622;en;decidim.admin.models.share_token.fields.expires_at;Expires at
28623;de;decidim.admin.models.share_token.fields.last_used_at;Zuletzt verwendet
28624;en;decidim.admin.models.share_token.fields.last_used_at;Zuletzt verwendet
28625;de;decidim.admin.models.share_token.fields.times_used;Anzahl Anwendungen
28626;en;decidim.admin.models.share_token.fields.times_used;Times used
28627;de;decidim.admin.models.share_token.fields.token;Schlüssel
28628;en;decidim.admin.models.share_token.fields.token;Token
