id;locale;key;value
24551;de;decidim.components.proposals.settings.global.vote_limit;Maximale Anzahl Stimmen pro Benutzende
24552;en;decidim.components.proposals.settings.global.vote_limit;Support limit per participant
24553;de;decidim.components.proposals.settings.step.amendment_creation_enabled_help;Teilnehmende können Vorschläge ergänzen.
24554;en;decidim.components.proposals.settings.step.amendment_creation_enabled_help;Participant can amend proposals.
24555;de;decidim.components.proposals.settings.global.proposal_edit_before_minutes;Vorschläge können von Autor*innen innerhalb dieser Anzahl Minuten bearbeitet werden. Danach müssen sie per Änderungsvorschlag (siehe unten) angepasst werden.
24556;en;decidim.components.proposals.settings.global.proposal_edit_before_minutes;Proposals can be edited by authors before this many minutes passes
24557;de;decidim.components.proposals.settings.global.default_sort_order;Vorschlagssortierung
24558;en;decidim.components.proposals.settings.global.default_sort_order;Default proposal sorting
24559;de;decidim.components.proposals.settings.global.default_sort_order_help;«Standardmässig» bedeutet, dass die Vorschläge nach dem Zufallsprinzip sortiert werden, wenn eine Abstimmung aktiviert ist. Wenn die Stimmabgabe ausgeschaltet ist, wird nach den meistgewählten Vorschlägen sortiert.
24560;en;decidim.components.proposals.settings.global.default_sort_order_help;Default means that if the supports are enabled, the proposals will be shown sorted by random, and if the supports are blocked, then they will be sorted by the most supported.
24561;de;decidim.components.proposals.settings.step.default_sort_order_help;	«Standardmässig» bedeutet, dass die Vorschläge nach dem Zufallsprinzip sortiert werden, wenn eine Abstimmung aktiviert ist. Wenn die Stimmabgabe ausgeschaltet ist, wird nach den meistgewählten Vorschlägen sortiert.
24562;en;decidim.components.proposals.settings.step.default_sort_order_help;Standardmäßig bedeutet dies, dass die Vorschläge nach dem Zufallsprinzip sortiert werden, wenn die Unterstützungen aktiviert sind, und wenn die Unterstützungen blockiert sind, werden sie nach den am meisten unterstützten sortiert.
24563;de;decidim.components.proposals.settings.step.amendment_reaction_enabled_help;Vorschlagsautor*innen können die Berichtigungen von Teilnehmenden akzeptieren oder ablehnen.
28304;en;decidim.endorsable.endorsements;Endorsements
28305;de;decidim.statistics.endorsements_count;Befürwortungen
28306;en;decidim.statistics.endorsements_count;Endorsements
28303;de;decidim.endorsable.endorsements;Befürwortungen
24564;en;decidim.components.proposals.settings.step.amendment_reaction_enabled_help;Proposal's authors will be able to accept or reject Participant's emendations.
24565;de;decidim.components.dummy.settings.step.amendment_promotion_enabled;Vorschlagsänderungen hervorheben
28814;en;decidim.components.proposals.settings.global.anonymous_proposals_enabled;Allow anonymous users to create proposals
28813;de;decidim.components.proposals.settings.global.anonymous_proposals_enabled;Vorschläge können anonym / ohne Registrierung erstellt werden.
24566;en;decidim.components.dummy.settings.step.amendment_promotion_enabled;Amendment promotion enabled
24574;en;decidim.components.proposals.settings.global.proposal_length;Maximum proposal body length
24567;de;decidim.components.proposals.settings.step.amendment_promotion_enabled_help;Berichtigungsautor*innen können die abgelehnten Berichtigungen im Vorschlag hervorheben.
24568;en;decidim.components.proposals.settings.step.amendment_promotion_enabled_help;Emandation authors will be able to promote to Proposal the rejected emendation.
24569;de;decidim.components.dummy.settings.step.amendments_visibility;Sichtbarkeit der Vorschlagsänderungen
24570;en;decidim.components.dummy.settings.step.amendments_visibility;Amendment visibility
24571;de;decidim.components.proposals.settings.step.amendments_visibility_choices.participants;Ergänzungen sind nur für ihre Autor*innen sichtbar
24572;en;decidim.components.proposals.settings.step.amendments_visibility_choices.participants;Amendments are visible only to their authors
24573;de;decidim.components.proposals.settings.global.proposal_length;Maximale Anzahl Zeichen im Beschreibungstext
24592;en;decidim.proposals.create.success;Proposal successfully created. Saved as a Draft.
24575;de;decidim.components.proposals.settings.step.amendments_visibility_help;Wenn die Option „Ergänzungen sind nur für ihre Autor*innen sichtbar“ ausgewählt ist, müssen Teilnehmende eingeloggt sein, um die vorgenommenen Ergänzungen zu sehen.
24576;en;decidim.components.proposals.settings.step.amendments_visibility_help;"If the option ""Amendments are visible only to their authors"" is selected, participant must be logged in to see the amendments made."
24577;de;activemodel.attributes.proposal.automatic_hashtags;Folgende Hashtags werden automatisch hinzugefügt. Damit kann Ihr Vorschlag in den Suchergebnissen besser erkannt werden.
24578;en;activemodel.attributes.proposal.automatic_hashtags;Hashtags automatically added
24579;de;activemodel.attributes.proposal.suggested_hashtags;Folgende Hashtags können Sie – falls passend – selbst hinzufügen
24580;en;activemodel.attributes.proposal.suggested_hashtags;Suggested hashtags
24581;de;decidim.components.proposals.settings.step.automatic_hashtags;Diese Hashtags werden allen Vorschlägen automatisch hinzugefügt (1 Hashtag pro Zeile)
24582;en;decidim.components.proposals.settings.step.automatic_hashtags;Hashtags added to all proposals
24583;de;decidim.components.proposals.settings.step.suggested_hashtags;Folgende Hashtags werden den Benutzenden zur Auswahl gestellt:
24584;en;decidim.components.proposals.settings.step.suggested_hashtags;Hashtags suggested to participants for new proposals
24585;de;decidim.proposals.proposals.placeholder.address;Sechseläutenplatz, 8001 Zürich
