id;locale;key;value
21791;de;decidim.admin.share_tokens.share_tokens.empty;"Es gibt keine aktive Linkfreigabe. Wählen Sie im Komponentenmenü die entsprechende Komponente und drücken Sie auf ""Teilen"" (Pfeil-Symbol). Die Komponente wird geöffnet und Sie können den Link aus der Browser-Adresszeile kopieren."
21792;en;decidim.admin.share_tokens.share_tokens.empty;There is no active link sharing. In the component menu, select the corresponding component and press Share (arrow icon). The component opens and you can copy the link from the browser address bar.
21793;de;decidim.admin.share_tokens.share_tokens.help;Mit der Linkfreigabe können Sie einen geheimen Link erstellen, den Sie versenden können. Die Seite wird nicht veröffentlicht, sondern kann nur über den angegebenen Link angesehen werden. Die Linkfreigabe wird jeweils für 24 Stunden aktiviert, danach muss ein neuer Link erstellt werden.
21794;en;decidim.admin.share_tokens.share_tokens.help;These tokens are used to publicly share this unpublished resource to any user. They will be hidden when the resource is published. Click on the token's share icon to visit the shareable URL.
21795;de;decidim.admin.share_tokens.actions.confirm_destroy;Sind Sie sicher, dass Sie diese Linkfreigabe löschen wollen?
21796;en;decidim.admin.share_tokens.actions.confirm_destroy;Are you sure you want to delete this link sharing?
21801;de;decidim.admin.share_tokens.destroy.error;Beim Löschen der Linkfreigabe ist ein Fehler aufgetreten.
21802;en;decidim.admin.share_tokens.destroy.error;There was a problem destroying the link.
21803;de;decidim.admin.share_tokens.destroy.success;Linkfreigabe wurde erfolgreich gelöscht.
21804;en;decidim.admin.share_tokens.destroy.success;Link sharing destroyed successfully.
21805;de;decidim.admin.share_tokens.share_tokens.title;Linkfreigabe
21806;en;decidim.admin.share_tokens.share_tokens.title;Link sharing
