id;locale;key;value
15259;de;decidim.admin.share_tokens.share_tokens.title;Linkfreigabe
15260;en;decidim.admin.share_tokens.share_tokens.title;Link sharing
15261;de;decidim.admin.share_tokens.share_tokens.help;Mit der Linkfreigabe können Sie einen geheimen Link erstellen, den Sie versenden können. Die Seite wird nicht veröffentlicht, sondern kann nur über den angegebenen Link angesehen werden. Die Linkfreigabe wird jeweils für 24 Stunden aktiviert, danach muss ein neuer Link erstellt werden.
15262;en;decidim.admin.share_tokens.share_tokens.help;These tokens are used to publicly share this unpublished resource to any user. They will be hidden when the resource is published. Click on the token's share icon to visit the shareable URL.
15263;de;decidim.admin.share_tokens.share_tokens.empty;"Es gibt keine aktive Linkfreigabe. Wählen Sie im Komponentenmenü die entsprechende Komponente und drücken Sie auf ""Teilen"" (Pfeil-Symbol). Die Komponente wird geöffnet und Sie können den Link aus der Browser-Adresszeile kopieren."
15264;en;decidim.admin.share_tokens.share_tokens.empty;There is no active link sharing. In the component menu, select the corresponding component and press Share (arrow icon). The component opens and you can copy the link from the browser address bar.
15265;de;decidim.admin.share_tokens.destroy.success;Linkfreigabe wurde erfolgreich gelöscht.
15266;en;decidim.admin.share_tokens.destroy.success;Link sharing destroyed successfully.
15267;de;decidim.admin.share_tokens.destroy.error;Beim Löschen der Linkfreigabe ist ein Fehler aufgetreten.
15268;en;decidim.admin.share_tokens.destroy.error;There was a problem destroying the link.
15273;de;decidim.admin.share_tokens.actions.confirm_destroy;Sind Sie sicher, dass Sie diese Linkfreigabe löschen wollen?
15274;en;decidim.admin.share_tokens.actions.confirm_destroy;Are you sure you want to delete this link sharing?
15277;de;decidim.admin.models.share_token.fields.token;Freigabe-Token
15278;en;decidim.admin.models.share_token.fields.token;Token
15283;de;decidim.admin.models.share_token.fields.expires_at;Ablaufdatum
15284;en;decidim.admin.models.share_token.fields.expires_at;Expires at
15285;de;decidim.admin.models.share_token.fields.created_at;Erstellungsdatum
15286;en;decidim.admin.models.share_token.fields.created_at;Created at
21807;de;decidim.admin.share_tokens.actions.destroy;Löschen
21808;en;decidim.admin.share_tokens.actions.destroy;Delete
21809;de;decidim.admin.share_tokens.actions.share;Teilen
21856;en;decidim.admin.share_tokens.form.token;Access key
21810;en;decidim.admin.share_tokens.actions.share;Teilen
21811;de;decidim.admin.share_tokens.update.success;Zugangslink erfolgreich aktualisiert.
21812;en;decidim.admin.share_tokens.update.success;Access link updated successfully.
21813;de;decidim.admin.share_tokens.update.error;Bei der Aktualisierung dieses Zugangs ist ein Problem aufgetreten.
21814;en;decidim.admin.share_tokens.update.error;There was a problem updating this access.
21815;de;decidim.admin.share_tokens.actions.copy_link;Link kopieren
21816;en;decidim.admin.share_tokens.actions.copy_link;Copy link
21817;de;decidim.admin.share_tokens.actions.edit;Bearbeiten
21818;en;decidim.admin.share_tokens.actions.edit;Edit
21819;de;decidim.admin.share_tokens.actions.preview;Vorschau
21820;en;decidim.admin.share_tokens.actions.preview;Preview
21821;de;decidim.admin.share_tokens.edit.update;Aktualisieren
21822;en;decidim.admin.share_tokens.edit.update;Update
21823;de;decidim.admin.share_tokens.form.automatic;Automatisch
21824;en;decidim.admin.share_tokens.form.automatic;Automatic
21825;de;decidim.admin.share_tokens.form.custom;Personalisiert
21826;en;decidim.admin.share_tokens.form.custom;Custom
21827;de;decidim.admin.share_tokens.form.custom_expiration;Personalisiertes Ablaufen
21828;en;decidim.admin.share_tokens.form.custom_expiration;Custom expiration
21829;de;decidim.admin.share_tokens.form.custom_token;Personalisiertes Wort
21830;en;decidim.admin.share_tokens.form.custom_token;Custom token
21831;de;decidim.admin.share_tokens.form.expires_at;Läuft ab am
21832;en;decidim.admin.share_tokens.form.expires_at;Expires at
21833;de;decidim.admin.share_tokens.form.false;Nein
21834;en;decidim.admin.share_tokens.form.false;No
21835;de;decidim.admin.share_tokens.form.never_expire;Niemals
21836;en;decidim.admin.share_tokens.form.never_expire;Never
21837;de;decidim.admin.share_tokens.form.registered_only;Nur registrierte?
21838;en;decidim.admin.share_tokens.form.registered_only;Registered only?
21839;de;decidim.admin.share_tokens.create.invalid;Beim Erstellen des Zugangslinks ist ein Problem aufgetreten.
21840;en;decidim.admin.share_tokens.create.invalid;There was a problem generating the access link.
21841;de;decidim.admin.share_tokens.create.success;Zugangslink erfolgreich erstellt.
21842;en;decidim.admin.share_tokens.create.success;Access link created successfully.
21843;de;decidim.admin.share_tokens.edit.title;Zugangslinks bearbeiten für: %{name}
21844;en;decidim.admin.share_tokens.edit.title;Edit access links for: %{name}
21845;de;decidim.admin.share_tokens.form.true;Ja
21846;en;decidim.admin.share_tokens.form.true;Yes
21847;de;decidim.admin.share_tokens.index.copy_message;Der Text wurde erfolgreich in die Zwischenablage kopiert.
21848;en;decidim.admin.share_tokens.index.copy_message;The text was successfully copied to clipboard.
21849;de;decidim.admin.share_tokens.index.never;Niemals
21850;en;decidim.admin.share_tokens.index.never;Never
21851;de;decidim.admin.share_tokens.new.create;Erstellen
21852;en;decidim.admin.share_tokens.new.create;Create
21853;de;decidim.admin.menu.share_tokens;Zugangslinks
21854;en;decidim.admin.menu.share_tokens;Access links
21855;de;decidim.admin.share_tokens.form.token;Zugangsschlüssel
21857;de;decidim.admin.share_tokens.index.back_to_share_tokens;Zurück zu den Zugangslinks
21858;en;decidim.admin.share_tokens.index.back_to_share_tokens;Back to access links
21859;de;decidim.admin.share_tokens.index.copied;Zugangslink kopiert!
21860;en;decidim.admin.share_tokens.index.copied;Access link copied!
21861;de;decidim.admin.share_tokens.index.create_new_token;Einen ersten Zugangslink erstellen!
21862;en;decidim.admin.share_tokens.index.create_new_token;Create your first access link!
21863;de;decidim.admin.share_tokens.index.empty;Keine aktiven Zugangslinks vorhanden. %{new_token_link}
21864;en;decidim.admin.share_tokens.index.empty;There are no active access links. %{new_token_link}
21865;de;decidim.admin.share_tokens.index.new_share_token_button;Neuer Zugangslink
21866;en;decidim.admin.share_tokens.index.new_share_token_button;New access link
21867;de;decidim.admin.share_tokens.index.share_tokens_help;"Erstellen und teilen Sie einen Zugangslink, um anderen die Ansicht dieser unveröffentlichten Ressource zu ermöglichen.
Zugangslinks können z.B. nur für registrierte Teilnehmer gültig sein oder falls nötig über ein Ablaufdatum verfügen.
Um einen neuen Zugangslink mit jemandem zu teilen, erstellen Sie ihn und kopieren Sie dann den Link mit dem Aktionssymbol ""%{clipboard} Zwischenablage""."
21868;en;decidim.admin.share_tokens.index.share_tokens_help;"Create and share an access link to allow others to view this unpublished resource.
Access links can be valid for registered participants only or have and expiration date if necessary.
To share a new access link with someone, create it and then copy the link using the ""%{clipboard} clipboard"" action icon.
"
21869;de;decidim.admin.share_tokens.index.title;Zugangslink für: %{name}
21870;en;decidim.admin.share_tokens.index.title;Access link for: %{name}
21871;de;decidim.admin.share_tokens.new.title;Neuer Zugangslink für: %{name}
21872;en;decidim.admin.share_tokens.new.title;New access link for: %{name}
21873;de;decidim.admin.models.share_token.fields.last_used_at;Zuletzt verwendet
21874;en;decidim.admin.models.share_token.fields.last_used_at;Zuletzt verwendet
21875;de;decidim.admin.models.share_token.fields.times_used;Anzahl Anwendungen
21876;en;decidim.admin.models.share_token.fields.times_used;Times used
21877;de;decidim.admin.models.share_token.fields.user;Erstellt von
21878;en;decidim.admin.models.share_token.fields.user;Erstellt von
21879;de;decidim.admin.models.share_token.fields.actions;Aktionen
21880;en;decidim.admin.models.share_token.fields.actions;Actions
21881;de;decidim.admin.models.share_token.fields.registered_only;Nur registrierte?
21882;en;decidim.admin.models.share_token.fields.registered_only;Registered only?
