id;locale;key;value
21953;de;activemodel.attributes.sortition.dice;Ergebnis des Würfelwurfs. Werfen Sie einen sechsseitigen Würfel vor Zeugen und geben Sie die resultierende Zahl ein. Der Würfelwurf schafft nebst dem zufälligen Startwert eine weitere Zufallsdimension.
21988;en;decidim.sortitions.admin.sortitions.update.success;Sortition successfully updated
21949;de;decidim.sortitions.admin.actions.new;Neue Auslosung
21950;en;decidim.sortitions.admin.actions.new;New sortition
21951;de;decidim.sortitions.admin.sortitions.new.title;Neue Auslosung
21952;en;decidim.sortitions.admin.sortitions.new.title;New sortition
21954;en;activemodel.attributes.sortition.dice;Result of die roll. Roll a 6-sided die, or look for another random way to generate a number from 1 to 6, and enter here the resulting number in front of some witnesses. This contributes to the quality and guarantees of the randomness of the result
21955;de;activemodel.attributes.sortition.target_items;Anzahl auszulosender Vorschläge (d.h. wie viele Vorschläge ausgewählt werden sollen)
21956;en;activemodel.attributes.sortition.target_items;Number of proposals to be selected (indicates the number of proposals you want to be selected by drawing lots of the group of proposals you have previously chosen)
21957;de;activemodel.attributes.sortition.decidim_category_id;Kategorie (wenn Sie nur bestimmte Vorschläge einer Komponente berücksichtigen möchten)
21958;en;activemodel.attributes.sortition.decidim_category_id;Categories of the set of proposals in which you want to apply the draw
21959;de;decidim.sortitions.admin.sortitions.form.select_proposal_component;Wählen Sie die Komponente aus, aus denen sie die Vorschläge losen möchten
21960;en;decidim.sortitions.admin.sortitions.form.select_proposal_component;Select the proposals set
21961;de;activemodel.attributes.sortition.decidim_proposals_component_id;Vorschlagskomponente
21962;en;activemodel.attributes.sortition.decidim_proposals_component_id;Proposals set
21963;de;activemodel.attributes.sortition.additional_info;Informationen zur Auslosung
21964;en;activemodel.attributes.sortition.additional_info;Sortition information
21965;de;decidim.sortitions.sortitions.sortition.random_seed;Zufälliger Startwert
21966;en;decidim.sortitions.sortitions.sortition.random_seed;Random seed
21967;de;decidim.sortitions.admin.sortitions.destroy.success;Die Auslosung wurde erfolgreich abgebrochen
