id;locale;key;value
21461;de;decidim.admin.assembly_imports.new.title;Interner Prozess importieren
21462;en;decidim.admin.assembly_imports.new.title;Import internal process
21463;de;decidim.admin.assembly_members.create.error;Beim Hinzufügen eines Mitglieds zu diesem interner Prozess ist ein Fehler aufgetreten.
21464;en;decidim.admin.assembly_members.create.error;There was a problem adding a member for this internal process.
21465;de;decidim.admin.assembly_members.create.success;Mitglied wurde diesem internen Prozess erfolgreich hinzugefügt.
21466;en;decidim.admin.assembly_members.create.success;Member successfully created for this internal process.
21467;de;decidim.admin.assembly_members.destroy.success;Mitglied wurde erfolgreich aus diesem internen Prozess entfernt.
21468;en;decidim.admin.assembly_members.destroy.success;Member successfully deleted for this internal process.
21469;de;decidim.admin.assembly_members.edit.title;Interne Prozessmitglieder aktualisieren.
21470;en;decidim.admin.assembly_members.edit.title;Update internal process members.
21471;de;decidim.admin.assembly_members.update.error;Beim Aktualisieren des Mitglieds dieses internen Prozesses ist ein Fehler aufgetreten.
21472;en;decidim.admin.assembly_members.update.error;There was a problem updating the member for this internal process.
21473;de;decidim.admin.assembly_members.update.success;Mitglied dieses internen Prozesses erfolgreich aktualisiert.
21474;en;decidim.admin.assembly_members.update.success;Member successfully updated for this internal process.
21475;de;decidim.admin.assembly_publications.create.error;Beim Veröffentlichen dieses internen Prozesses ist ein Fehler aufgetreten.
21476;en;decidim.admin.assembly_publications.create.error;There was a problem publishing this internal process.
21477;de;decidim.admin.assembly_publications.create.success;Interner Prozess erfolgreich veröffentlicht.
21478;en;decidim.admin.assembly_publications.create.success;Internal process successfully published.
21479;de;decidim.admin_log.assembly.create;%{user_name} hat den internen Prozess %{resource_name} erstellt
21480;en;decidim.admin_log.assembly.create;%{user_name} created the %{resource_name} internal process
21481;de;decidim.admin_log.assembly.duplicate;%{user_name} hat den internen Prozess %{resource_name} aktualisiert
21482;en;decidim.admin_log.assembly.duplicate;%{user_name} duplicated the %{resource_name} internal process
21483;de;decidim.admin_log.assembly.export;%{user_name} hat den internen Prozess %{resource_name} exportiert
21484;en;decidim.admin_log.assembly.export;%{user_name} exported the %{resource_name} internal process
21485;de;decidim.admin_log.assembly.import;%{user_name} hat den internen Prozess %{resource_name} importiert
21486;en;decidim.admin_log.assembly.import;%{user_name} imported the %{resource_name} internal process
21487;de;decidim.admin_log.assembly.publish;%{user_name} hat den internen Prozess %{resource_name} veröffentlicht
21488;en;decidim.admin_log.assembly.publish;%{user_name} published the %{resource_name} internal process
21489;de;decidim.admin_log.assembly.unpublish;"%{user_name} hat den internen Prozess %{resource_name} auf ""unveröffentlicht"" gesetzt"
21490;en;decidim.admin_log.assembly.unpublish;%{user_name} unpublished the %{resource_name} internal process
21491;de;decidim.admin_log.assembly.update;%{user_name} hat den internen Prozess %{resource_name} aktualisiert
21492;en;decidim.admin_log.assembly.update;%{user_name} updated the %{resource_name} internal process
21493;de;decidim.admin_log.assembly_member.create;%{user_name} hat das Mitglied %{resource_name} im internen Prozess %{space_name} erstellt
21494;en;decidim.admin_log.assembly_member.create;%{user_name} created the %{resource_name} member in the %{space_name} internal process
21495;de;decidim.admin_log.assembly_member.delete;%{user_name} hat das Mitglied %{resource_name} aus dem Interner Prozess %{space_name} entfernt
